number of lenses, lens scale, number of blocks, number of threads, WL ,x pixels, y pixels, Total host time,Total device time, total program time
100,0.005,2504,1024,4,1601,1601,21.84,35.5919,84.802
200,0.005,2504,1024,4,1601,1601,22.526,70.824,122.78
300,0.005,2504,1024,4,1601,1601,22.339,106.184,152.43
400,0.005,2504,1024,4,1601,1601,22.297,140.898,199.689
500,0.005,2504,1024,4,1601,1601,22.73,172.9,227.557
600,0.005,2504,1024,4,1601,1601,22.719,207.512,262.001
700,0.005,2504,1024,4,1601,1601,22.443,241.766,296.548
800,0.005,2504,1024,4,1601,1601,22.372,276.393,334.525
900,0.005,2504,1024,4,1601,1601,22.309,310.614,369.975
1000,0.005,2504,1024,4,1601,1601,22.798,344.757,399.12
1100,0.005,2504,1024,4,1601,1601,22.139,379.9,430.265
1200,0.005,2504,1024,4,1601,1601,22.335,413.635,470.989
1300,0.005,2504,1024,4,1601,1601,22.348,448.56,510.152
1400,0.005,2504,1024,4,1601,1601,22.124,482.172,532.291
1500,0.005,2504,1024,4,1601,1601,22.58,517.422,565.926
1600,0.005,2504,1024,4,1601,1601,22.302,552.556,600.482
1700,0.005,2504,1024,4,1601,1601,23.231,585.493,638.438
1800,0.005,2504,1024,4,1601,1601,22.461,619.235,669.365
1900,0.005,2504,1024,4,1601,1601,22.146,653.379,702.455
2000,0.005,2504,1024,4,1601,1601,22.843,688.266,737.449
