number of lenses, lens scale, number of blocks, number of threads, WL ,x pixels, y pixels, Total host time,Total device time, total program time
1,0.005,158,1024,1,401,401,2.227,0.060704,30.053
1,0.005,627,1024,2,801,801,6.405,0.193792,39.762
1,0.005,2504,1024,4,1601,1601,21.221,0.716448,54.1
1,0.005,3911,1024,5,2001,2001,33.328,1.10278,74.505
1,0.005,5630,1024,6,2401,2401,45.497,1.57405,76.954
1,0.005,7662,1024,7,2801,2801,62.208,2.13286,100.19
1,0.005,10007,1024,8,3201,3201,81.76,2.77933,110.482
1,0.005,12664,1024,9,3601,3601,96.841,3.50694,133.279
1,0.005,15633,1024,10,4001,4001,118.864,4.32534,153.511
1,0.005,18915,1024,11,4401,4401,144.096,5.23021,179.715
1,0.005,22510,1024,12,4801,4801,169.853,6.22058,203.562
1,0.005,26417,1024,13,5201,5201,199.216,7.29037,232.205
1,0.005,30636,1024,14,5601,5601,232.219,8.4473,268.106
1,0.005,35168,1024,15,6001,6001,259.182,9.69926,301.702
1,0.005,40013,1024,16,6401,6401,298.93,11.0379,344.212
1,0.005,45170,1024,17,6801,6801,335.387,12.4626,375.023
1,0.005,50640,1024,18,7201,7201,374.647,13.9636,415.762
1,0.005,56422,1024,19,7601,7601,416.352,15.5527,459.007
1,0.005,62516,1024,20,8001,8001,465.016,17.2165,509.375
